transaction_id,customer_id,amount,customer_age,past_fraud_count,avg_spend,is_international,device_type,customer_region,category,merchant,transaction_time,is_fraud
T1000,C291,46.93,68.0,0,124.55,1,mobile,North,travel,Walmart,01/01/2024 08:10,0
T1001,C280,301.01,57.0,1,116.49,0,pos,North,travel,,2024-01-01 07:50:12,0
T1002,C321,131.67,,1,96.91,0,web,North,grocery,Amazon,2024-01-01 18:09:06,0
T1003,C450,91.29,49.0,0,108.17,0,pos,West,electronics,,2024/01/01 03:52,0
T1004,C111,16.96,65.0,0,70.14,0,pos,South,grocery,Amazon,Jan 01 2024 09:08,0
T1005,C286,16.96,36.0,0,130.83,0,mobile,East,shopping,Amazon,01/01/2024 18:06,0
T1006,C163,5.98,23.0,0,34.65,0,pos,West,electronics,Target,2024-01-01 18:40:45,0
T1007,C329,201.12,37.0,0,109.3,0,web,East,shopping,Amazon,01/01/2024 23:35,0
T1008,C472,91.91,44.0,0,128.08,0,web,West,electronics,Starbucks,2024/01/01 08:38,0
T1009,C209,123.13,60.0,0,90.07,0,web,East,food,Starbucks,01/01/2024 19:18,0
T1010,C345,2.08,,0,118.54,0,web,East,,Starbucks,Jan 01 2024 07:47,0
T1011,C137,350.36,65.0,1,50.43,1,mobile,South,food,Walmart,Jan 01 2024 03:52,1
T1012,C150,178.64,24.0,0,51.71,1,pos,East,grocery,BestBuy,2024/01/01 20:23,0
T1013,C200,23.87,22.0,0,111.84,0,mobile,West,electronics,Amazon,Jan 01 2024 22:09,0
T1014,C440,20.07,28.0,0,133.93,0,pos,East,,BestBuy,2024-01-01 16:51:05,0
T1015,C411,20.26,32.0,0,6.26,0,mobile,South,electronics,Starbucks,2024/01/01 19:27,0
T1016,C347,36.28,20.0,0,126.1,0,mobile,East,shopping,Target,Jan 02 2024 03:24,0
T1017,C199,74.39,22.0,0,72.84,0,mobile,West,food,,2024/01/01 17:02,0
T1018,C280,56.55,40.0,0,90.36,1,web,East,food,Amazon,Jan 02 2024 02:20,0
T1019,C149,34.42,,0,33.02,0,web,South,,BestBuy,Jan 01 2024 07:41,0
T1020,C134,94.64,26.0,0,57.42,0,mobile,South,grocery,BestBuy,2024-01-01 00:43:17,0
T1021,C148,15.02,32.0,0,148.31,0,pos,South,,Walmart,01/01/2024 08:06,0
T1022,C396,34.55,20.0,1,101.64,0,pos,South,,Target,Jan 01 2024 16:51,0
T1023,C254,45.63,46.0,0,80.86,0,web,North,food,Starbucks,2024-01-01 00:21:42,0
T1024,C191,60.89,23.0,1,94.18,1,mobile,South,food,Target,01/01/2024 17:23,0
T1025,C449,153.79,34.0,0,124.46,0,web,East,grocery,Amazon,Jan 01 2024 21:24,0
T1026,C457,22.27,43.0,0,122.02,0,web,East,food,Walmart,Jan 01 2024 21:36,0
T1027,C475,72.2,38.0,1,96.25,0,web,East,grocery,,01/01/2024 18:54,0
T1028,C183,89.75,25.0,1,154.65,0,mobile,East,travel,Amazon,2024-01-01 13:57:20,0
T1029,C440,4.76,38.0,0,148.52,0,mobile,North,electronics,Target,Jan 01 2024 15:14,0
T1030,C367,93.53,,0,120.67,0,web,North,,,01/01/2024 14:01,0
T1031,C416,18.7,55.0,0,102.73,0,mobile,North,travel,Starbucks,2024/01/01 02:04,0
T1032,C178,6.73,25.0,0,132.87,0,pos,East,food,Target,01/01/2024 22:09,0
T1033,C275,297.37,59.0,1,115.71,0,pos,West,shopping,Starbucks,Jan 02 2024 00:51,0
T1034,C331,337.06,41.0,0,153.04,0,web,West,food,Walmart,01/01/2024 16:17,0
T1035,C330,165.23,52.0,0,144.98,0,pos,East,grocery,Walmart,Jan 01 2024 00:55,0
T1036,C481,36.33,31.0,0,49.09,0,web,South,shopping,Target,01/01/2024 06:16,0
T1037,C340,10.28,31.0,0,45.7,0,web,South,travel,Starbucks,Jan 02 2024 03:36,0
T1038,C183,115.28,27.0,0,64.94,0,web,East,electronics,BestBuy,2024-01-01 04:50:51,0
T1039,C395,58.01,29.0,0,148.81,0,mobile,South,electronics,Amazon,2024/01/02 03:30,0
T1040,C413,13.02,,0,21.18,0,mobile,South,food,Walmart,2024-01-01 00:51:14,0
T1041,C432,68.35,61.0,0,119.74,0,mobile,West,,Starbucks,Jan 01 2024 14:20,0
T1042,C426,3.5,,0,118.13,0,mobile,East,food,Target,2024-01-01 15:44:56,0
T1043,C258,240.04,51.0,1,158.13,1,web,North,,Target,2024/01/01 08:34,1
T1044,C391,29.95,58.0,0,109.02,1,mobile,West,,Walmart,01/01/2024 09:53,0
T1045,C405,108.63,27.0,0,32.84,1,pos,East,travel,Walmart,2024-01-01 07:40:54,0
T1046,C160,37.35,34.0,0,52.03,0,pos,East,grocery,BestBuy,Jan 01 2024 16:10,0
T1047,C327,73.41,34.0,0,40.9,0,mobile,West,food,Target,01/01/2024 03:56,0
