,transaction_id,customer_id,amount,customer_age,past_fraud_count,avg_spend,is_international,device_type,customer_region,category,merchant,transaction_time,is_fraud
11,T1011,C137,350.36,65.0,1,50.43,1,mobile,South,food,Walmart,2024-01-01 03:52:00,1
34,T1034,C331,337.06,41.0,0,153.04,0,web,West,food,Walmart,2024-01-01 16:17:00,0
50,T1050,C106,349.28,68.0,0,41.73,0,mobile,West,grocery,Amazon,2024-01-01 00:42:00,0
69,T1069,C350,433.41,51.0,0,190.28,0,web,North,Unknown,Amazon,2024-01-01 21:22:00,0
77,T1077,C291,384.5,25.0,1,148.16,0,mobile,West,travel,Walmart,2024-01-01 21:04:00,0
105,T1105,C378,1433.5,43.0,1,142.48,0,mobile,North,grocery,Amazon,2024-01-01 08:17:39,0
139,T1139,C365,356.78,49.0,0,100.47,0,mobile,North,grocery,BestBuy,2024-01-01 15:31:00,0
140,T1140,C459,328.2,59.0,1,115.15,0,pos,West,electronics,Amazon,2024-01-01 21:04:00,0
154,T1154,C278,424.4,38.0,0,164.86,0,pos,North,travel,Starbucks,2024-01-01 10:53:00,0
169,T1169,C258,4469.0,47.0,1,46.84,0,web,South,food,BestBuy,2024-01-01 02:55:56,0
226,T1226,C154,361.23,33.0,0,145.34,0,pos,North,travel,Starbucks,2024-01-01 13:39:00,0
247,T1247,C182,340.08,49.0,0,63.78,0,mobile,South,grocery,Amazon,2024-01-01 05:11:00,0
248,T1248,C232,331.37,52.0,1,268.89,0,pos,North,shopping,Target,2024-01-01 01:45:00,0
261,T1261,C490,461.06,46.0,0,126.93,0,pos,North,travel,BestBuy,2024-01-01 23:47:00,0
273,T1273,C461,12223.0,47.0,0,104.87,0,web,West,travel,Unknown,2024-01-01 19:09:00,0
295,T1295,C304,3693.5,43.0,0,91.97,0,pos,West,shopping,Walmart,2024-02-01 02:37:00,0
305,T1305,C135,372.36,55.0,0,65.45,0,mobile,West,food,Unknown,2024-01-02 00:42:00,0
313,T1313,C327,328.74,43.0,0,45.99,0,mobile,North,shopping,BestBuy,2024-01-01 02:19:00,0
366,T1366,C337,324.91,52.0,0,195.86,0,mobile,East,food,Unknown,2024-01-01 17:52:00,0
390,T1390,C470,465.7,65.0,0,100.76,1,web,South,Unknown,Unknown,2024-01-02 00:40:00,0
441,T1441,C358,431.55,37.0,0,119.82,0,pos,North,shopping,Amazon,2024-01-01 04:40:00,0
446,T1446,C340,426.88,24.0,1,177.86,0,mobile,West,food,Target,2024-01-01 09:07:47,0
448,T1448,C138,2360.0,21.0,1,131.3,1,web,North,grocery,Starbucks,2024-01-01 08:04:11,1
460,T1460,C208,625.0,43.0,0,162.65,1,web,South,Unknown,Starbucks,2024-01-01 22:33:41,0
