,transaction_id,customer_id,amount,customer_age,past_fraud_count,avg_spend,is_international,device_type,customer_region,category,merchant,transaction_time,is_fraud
90,T1090,C498,12.74,65.0,0,-68.78,0,pos,West,shopping,Walmart,2024-02-01 02:03:00,0
135,T1135,C292,39.04,27.0,0,-38.37,0,pos,South,Unknown,Target,2024-01-01 18:18:00,0
136,T1136,C439,73.15,63.0,0,235.74,1,web,East,Unknown,BestBuy,2024-01-01 11:21:00,0
166,T1166,C395,38.68,63.0,0,-36.47,0,pos,North,shopping,BestBuy,2024-01-02 03:41:00,0
248,T1248,C232,70.865,52.0,1,268.89,0,pos,North,shopping,Target,2024-01-01 01:45:00,0
336,T1336,C208,193.42,20.0,0,-66.06,0,pos,South,grocery,Unknown,2024-01-01 13:29:00,0
374,T1374,C175,7.38,39.0,0,264.39,1,pos,West,electronics,Target,2024-02-01 02:31:45,0
431,T1431,C152,143.34,67.0,0,-45.43,0,pos,South,electronics,Walmart,2024-01-01 10:05:20,0
553,T1553,C127,82.31,37.0,0,-48.34,0,mobile,North,grocery,Walmart,2024-01-01 21:49:53,0
597,T1597,C398,18.91,34.0,0,-40.0,0,pos,South,Unknown,BestBuy,2024-01-01 22:38:38,0
657,T1657,C141,45.11,29.0,0,-51.7,0,pos,South,grocery,BestBuy,2024-01-01 08:17:00,0
863,T1863,C323,58.12,65.0,0,-49.69,0,pos,North,grocery,BestBuy,2024-02-01 00:03:29,0
879,T1879,C427,25.1,45.0,0,-35.38,1,mobile,South,Unknown,Target,2024-01-01 09:00:21,0
1155,T2155,C407,139.72,49.0,0,247.26,0,mobile,East,shopping,Walmart,2024-02-01 01:50:00,0
1503,T2503,C340,41.74,22.0,0,248.48,0,pos,South,grocery,Starbucks,2024-01-01 02:55:00,0
1618,T2618,C246,81.6,42.0,0,264.21,0,pos,West,grocery,Target,2024-01-01 09:20:25,0
1688,T2688,C331,93.2,66.0,1,-39.15,1,pos,East,Unknown,Amazon,2024-01-01 23:02:15,0
1823,T2823,C208,149.0,28.0,0,242.13,0,pos,East,electronics,BestBuy,2024-01-01 04:43:00,0
2079,T3079,C413,147.85,47.0,0,252.03,0,pos,South,Unknown,Unknown,2024-01-01 08:13:00,0
2116,T3116,C484,58.04,32.0,0,254.83,0,web,South,grocery,Amazon,2024-01-01 17:29:56,0
2135,T3135,C459,220.96,25.0,0,271.45,0,web,West,shopping,Amazon,2024-01-02 00:19:00,0
2346,T3346,C143,113.53,26.0,1,-41.01,0,pos,West,electronics,BestBuy,2024-01-02 03:42:00,0
2354,T3354,C261,128.73,31.0,0,259.33,0,pos,West,food,Walmart,2024-01-02 02:47:00,0
2450,T3450,C211,31.51,21.0,0,-54.13,0,web,East,grocery,BestBuy,2024-01-01 02:10:57,0
2492,T3492,C132,143.46,54.0,0,-48.42,0,pos,South,travel,BestBuy,2024-01-01 15:58:00,0
2826,T3826,C424,130.51,37.0,0,-45.59,0,pos,East,grocery,Walmart,2024-01-01 13:57:00,0
2852,T3852,C343,21.27,64.0,0,-47.69,0,web,West,food,Target,2024-01-01 17:33:00,0
2856,T3856,C217,24.96,58.0,0,264.29,0,mobile,North,food,Amazon,2024-01-01 16:10:00,0
2858,T3858,C125,3.67,58.0,0,236.8,0,mobile,South,electronics,Walmart,2024-01-02 02:29:00,0
3030,T4030,C460,22.19,68.0,0,-34.0,0,pos,West,shopping,Starbucks,2024-01-01 01:07:00,0
3234,T4234,C500,49.6,36.0,0,-40.76,0,pos,West,food,Starbucks,2024-01-01 12:37:00,0
3491,T4491,C475,93.36,49.0,1,-66.48,0,web,North,travel,Target,2024-01-01 17:13:00,0
3564,T4564,C361,61.33,43.0,0,-62.52,1,pos,East,electronics,Unknown,2024-01-01 21:26:00,0
3625,T4625,C120,30.55,43.0,0,-40.92,0,web,South,food,BestBuy,2024-01-01 17:22:00,0
3822,T4822,C132,163.84,69.0,0,257.02,0,pos,South,Unknown,Walmart,2024-01-01 08:09:00,0
3893,T4893,C462,55.94,43.0,0,241.21,0,mobile,South,shopping,Walmart,2024-01-01 14:27:00,0
4072,T5072,C114,90.2,47.0,0,-81.76,0,web,East,shopping,Amazon,2024-01-01 17:15:00,0
4185,T5185,C258,100.07,52.0,0,-46.81,0,pos,West,food,BestBuy,2024-01-01 11:46:00,0
4218,T5218,C294,116.9,26.0,0,-54.71,0,web,East,shopping,Amazon,2024-01-01 01:59:26,0
4397,T5397,C396,8.03,20.0,0,243.7,1,mobile,East,electronics,Unknown,2024-01-01 06:58:44,0
4462,T5462,C403,70.865,25.0,0,-42.81,0,web,East,Unknown,Unknown,2024-01-01 17:43:00,0
4468,T5468,C135,298.13,43.0,1,-65.39,0,mobile,South,electronics,Target,2024-01-01 03:35:00,0
4470,T5470,C169,237.56,33.0,2,-43.79,1,web,West,travel,Starbucks,2024-01-01 08:03:00,0
4640,T5640,C196,291.41,60.0,0,-42.2,0,mobile,West,shopping,Starbucks,2024-01-01 00:57:00,0
4753,T5753,C240,71.11,43.0,0,323.95,0,mobile,South,grocery,BestBuy,2024-01-01 20:35:00,0
4883,T5883,C318,19.86,47.0,0,237.44,0,mobile,West,shopping,Amazon,2024-01-01 17:02:00,0
