transaction_id,customer_id,amount,customer_age,past_fraud_count,avg_spend,is_international,device_type,customer_region,category,merchant,transaction_time,is_fraud
T2897,C351,20.83,25.0,2,27.01,0,mobile,east,travel,starbucks,2024-01-01 18:07:43,0
T3083,C274,239.93,19.0,0,125.45,1,pos,south,shopping,target,2024-01-01 17:01:00,0
T5543,C291,33.31,43.0,1,98.07,1,pos,east,electronics,bestbuy,2024-01-01 22:18:16,0
T4392,C367,219.03,21.0,1,41.07,0,pos,south,electronics,target,2024-01-01 03:26:00,0
T5321,C277,274.79,43.0,2,138.35,1,web,south,electronics,target,2024-01-01 19:07:00,0
T5233,C479,242.29,33.0,0,122.7,1,web,west,food,target,2024-01-01 04:17:23,0
T5188,C206,118.23,24.0,1,108.77,0,pos,west,electronics,target,2024-02-01 01:00:51,0
T2871,C287,24.02,29.0,0,152.25,1,web,east,food,target,2024-01-01 04:29:00,0
T3844,C260,86.07,45.0,1,110.39,1,pos,north,food,unknown,2024-01-01 09:19:00,0
T5081,C230,26.57,32.0,0,188.53,1,web,south,shopping,target,2024-01-01 02:07:00,0
T4852,C298,94.88,34.0,1,62.58,1,mobile,south,travel,walmart,2024-01-01 19:24:31,0
T1343,C441,56.89,31.0,2,97.16,0,pos,east,grocery,amazon,2024-01-02 01:45:00,0
T5945,C305,70.865,54.0,1,156.11,1,mobile,north,travel,starbucks,2024-01-01 09:25:00,0
T3991,C178,160.95,65.0,2,191.61,0,pos,north,electronics,walmart,2024-01-01 06:01:14,0
T1613,C415,8.53,38.0,1,177.49,1,pos,west,unknown,target,2024-01-01 12:14:00,0
T5933,C225,58.85,27.0,1,87.83,1,web,north,travel,unknown,2024-01-01 19:45:00,0
T4620,C179,111.71,43.0,1,35.79,1,mobile,west,travel,amazon,2024-01-01 23:57:00,0
T3928,C230,140.34,66.0,1,79.18,1,mobile,south,food,bestbuy,2024-01-01 04:34:45,0
T4543,C253,41.95,31.0,0,73.41,1,web,south,electronics,bestbuy,2024-01-01 06:19:00,0
T2585,C448,14.67,44.0,2,117.82,0,mobile,east,travel,starbucks,2024-01-01 22:48:00,0
T1260,C378,95.45,40.0,0,32.94,1,web,south,electronics,amazon,2024-01-02 00:33:00,0
T4340,C192,219.94,26.0,1,17.39,0,pos,north,electronics,target,2024-01-01 02:52:00,0
T1681,C498,29.83,29.0,1,136.36,1,web,south,travel,amazon,2024-01-01 11:50:00,0
T2905,C212,22.62,25.0,1,72.79,0,web,north,electronics,amazon,2024-01-01 08:14:18,0
T3104,C236,157.63,57.0,2,49.83,0,mobile,south,travel,amazon,2024-01-01 11:58:00,0
T4569,C176,198.2,21.0,3,109.47,0,pos,west,travel,target,2024-02-01 01:11:23,0
T1939,C484,85.92,20.0,1,147.46,0,web,north,unknown,target,2024-01-01 04:49:01,0
T2289,C346,8.18,43.0,1,138.64,1,pos,south,food,bestbuy,2024-01-01 08:27:00,0
T1194,C200,41.4,29.0,1,67.76,1,pos,west,travel,target,2024-01-02 00:47:00,0
