transaction_id,customer_id,amount,customer_age,past_fraud_count,avg_spend,is_international,device_type,customer_region,category,merchant,transaction_time,is_fraud,Reason
T3083,C274,239.93,19.0,0,125.45,1,pos,south,shopping,target,2024-01-01 17:01:00,0,International transaction
T5543,C291,33.31,43.0,1,98.07,1,pos,east,electronics,bestbuy,2024-01-01 22:18:16,0,International transaction
T5321,C277,274.79,43.0,2,138.35,1,web,south,electronics,target,2024-01-01 19:07:00,0,International transaction
T5233,C479,242.29,33.0,0,122.7,1,web,west,food,target,2024-01-01 04:17:23,0,International transaction
T2871,C287,24.02,29.0,0,152.25,1,web,east,food,target,2024-01-01 04:29:00,0,International transaction
T3844,C260,86.07,45.0,1,110.39,1,pos,north,food,unknown,2024-01-01 09:19:00,0,International transaction
T5081,C230,26.57,32.0,0,188.53,1,web,south,shopping,target,2024-01-01 02:07:00,0,International transaction
T4852,C298,94.88,34.0,1,62.58,1,mobile,south,travel,walmart,2024-01-01 19:24:31,0,International transaction
T5945,C305,70.865,54.0,1,156.11,1,mobile,north,travel,starbucks,2024-01-01 09:25:00,0,International transaction
T1613,C415,8.53,38.0,1,177.49,1,pos,west,unknown,target,2024-01-01 12:14:00,0,International transaction
T5933,C225,58.85,27.0,1,87.83,1,web,north,travel,unknown,2024-01-01 19:45:00,0,International transaction
T4620,C179,111.71,43.0,1,35.79,1,mobile,west,travel,amazon,2024-01-01 23:57:00,0,International transaction
T3928,C230,140.34,66.0,1,79.18,1,mobile,south,food,bestbuy,2024-01-01 04:34:45,0,International transaction
T4543,C253,41.95,31.0,0,73.41,1,web,south,electronics,bestbuy,2024-01-01 06:19:00,0,International transaction
T1260,C378,95.45,40.0,0,32.94,1,web,south,electronics,amazon,2024-01-02 00:33:00,0,International transaction
T1681,C498,29.83,29.0,1,136.36,1,web,south,travel,amazon,2024-01-01 11:50:00,0,International transaction
T2289,C346,8.18,43.0,1,138.64,1,pos,south,food,bestbuy,2024-01-01 08:27:00,0,International transaction
T1194,C200,41.4,29.0,1,67.76,1,pos,west,travel,target,2024-01-02 00:47:00,0,International transaction
T5545,C342,167.06,25.0,0,136.2,1,web,west,shopping,target,2024-01-01 09:13:23,0,International transaction
T5634,C181,70.865,34.0,0,107.84,1,web,north,electronics,starbucks,2024-01-01 12:00:00,0,International transaction
T2002,C369,206.31,68.0,1,99.64,1,web,south,food,unknown,2024-02-01 01:17:00,0,International transaction
T1426,C415,58.26,33.0,0,84.51,1,pos,south,electronics,amazon,2024-01-01 05:40:00,0,International transaction
T5169,C130,10.16,43.0,1,23.45,1,web,north,travel,amazon,2024-01-01 23:41:51,0,International transaction
T2642,C450,73.6,30.0,1,27.14,1,mobile,east,unknown,walmart,2024-01-01 20:09:43,0,International transaction
T4142,C117,87.81,43.0,2,37.5,1,mobile,south,travel,bestbuy,2024-01-01 16:21:20,0,International transaction
T5784,C132,54.02,44.0,1,147.87,1,pos,east,travel,starbucks,2024-01-01 16:08:00,0,International transaction
T4182,C391,37.08,32.0,1,30.85,1,web,south,unknown,amazon,2024-01-01 04:48:00,0,International transaction
T2325,C164,41.08,19.0,0,92.31,1,web,west,shopping,amazon,2024-01-01 09:40:00,0,International transaction
T1424,C461,5.93,40.0,1,98.0,1,mobile,west,grocery,bestbuy,2024-01-01 05:30:00,0,International transaction
T4769,C456,12.4,37.0,1,99.21,1,web,east,travel,amazon,2024-01-02 00:12:00,0,International transaction
T5162,C238,79.6,21.0,1,124.06,1,mobile,north,food,starbucks,2024-01-01 07:18:00,0,International transaction
T3965,C498,120.79,18.0,0,147.19,1,pos,north,food,amazon,2024-01-01 13:23:11,0,International transaction
T5113,C304,9.42,68.0,1,133.15,1,web,north,electronics,amazon,2024-01-01 07:03:00,0,International transaction
T2397,C417,28.6,36.0,0,167.67,1,web,west,electronics,amazon,2024-01-02 01:09:00,0,International transaction
T1498,C169,70.865,18.0,0,84.62,1,pos,south,electronics,starbucks,2024-01-01 02:01:33,0,International transaction
T2897,C351,20.83,25.0,2,27.01,0,mobile,east,travel,starbucks,2024-01-01 18:07:43,0,Previous fraud history
T5543,C291,33.31,43.0,1,98.07,1,pos,east,electronics,bestbuy,2024-01-01 22:18:16,0,Previous fraud history
T4392,C367,219.03,21.0,1,41.07,0,pos,south,electronics,target,2024-01-01 03:26:00,0,Previous fraud history
T5321,C277,274.79,43.0,2,138.35,1,web,south,electronics,target,2024-01-01 19:07:00,0,Previous fraud history
T5188,C206,118.23,24.0,1,108.77,0,pos,west,electronics,target,2024-02-01 01:00:51,0,Previous fraud history
T3844,C260,86.07,45.0,1,110.39,1,pos,north,food,unknown,2024-01-01 09:19:00,0,Previous fraud history
T4852,C298,94.88,34.0,1,62.58,1,mobile,south,travel,walmart,2024-01-01 19:24:31,0,Previous fraud history
T1343,C441,56.89,31.0,2,97.16,0,pos,east,grocery,amazon,2024-01-02 01:45:00,0,Previous fraud history
T5945,C305,70.865,54.0,1,156.11,1,mobile,north,travel,starbucks,2024-01-01 09:25:00,0,Previous fraud history
T3991,C178,160.95,65.0,2,191.61,0,pos,north,electronics,walmart,2024-01-01 06:01:14,0,Previous fraud history
T1613,C415,8.53,38.0,1,177.49,1,pos,west,unknown,target,2024-01-01 12:14:00,0,Previous fraud history
T5933,C225,58.85,27.0,1,87.83,1,web,north,travel,unknown,2024-01-01 19:45:00,0,Previous fraud history
T4620,C179,111.71,43.0,1,35.79,1,mobile,west,travel,amazon,2024-01-01 23:57:00,0,Previous fraud history
T3928,C230,140.34,66.0,1,79.18,1,mobile,south,food,bestbuy,2024-01-01 04:34:45,0,Previous fraud history
T2585,C448,14.67,44.0,2,117.82,0,mobile,east,travel,starbucks,2024-01-01 22:48:00,0,Previous fraud history
T4340,C192,219.94,26.0,1,17.39,0,pos,north,electronics,target,2024-01-01 02:52:00,0,Previous fraud history
T1681,C498,29.83,29.0,1,136.36,1,web,south,travel,amazon,2024-01-01 11:50:00,0,Previous fraud history
T2905,C212,22.62,25.0,1,72.79,0,web,north,electronics,amazon,2024-01-01 08:14:18,0,Previous fraud history
T3104,C236,157.63,57.0,2,49.83,0,mobile,south,travel,amazon,2024-01-01 11:58:00,0,Previous fraud history
T4569,C176,198.2,21.0,3,109.47,0,pos,west,travel,target,2024-02-01 01:11:23,0,Previous fraud history
T1939,C484,85.92,20.0,1,147.46,0,web,north,unknown,target,2024-01-01 04:49:01,0,Previous fraud history
T2289,C346,8.18,43.0,1,138.64,1,pos,south,food,bestbuy,2024-01-01 08:27:00,0,Previous fraud history
T1194,C200,41.4,29.0,1,67.76,1,pos,west,travel,target,2024-01-02 00:47:00,0,Previous fraud history
T2948,C438,39.78,64.0,2,135.09,0,web,south,food,walmart,2024-02-01 00:47:44,0,Previous fraud history
T4308,C379,46.14,43.0,2,113.08,0,mobile,north,travel,starbucks,2024-01-01 01:28:10,0,Previous fraud history
T2002,C369,206.31,68.0,1,99.64,1,web,south,food,unknown,2024-02-01 01:17:00,0,Previous fraud history
T5362,C458,144.26,43.0,2,87.56,0,pos,west,food,bestbuy,2024-02-01 02:01:26,0,Previous fraud history
T5380,C469,6.4,57.0,2,127.56,0,web,west,unknown,walmart,2024-01-01 00:41:00,0,Previous fraud history
T5169,C130,10.16,43.0,1,23.45,1,web,north,travel,amazon,2024-01-01 23:41:51,0,Previous fraud history
T2642,C450,73.6,30.0,1,27.14,1,mobile,east,unknown,walmart,2024-01-01 20:09:43,0,Previous fraud history
T4142,C117,87.81,43.0,2,37.5,1,mobile,south,travel,bestbuy,2024-01-01 16:21:20,0,Previous fraud history
T5784,C132,54.02,44.0,1,147.87,1,pos,east,travel,starbucks,2024-01-01 16:08:00,0,Previous fraud history
T1841,C475,108.93,32.0,1,208.86,0,web,north,electronics,amazon,2024-01-01 00:43:00,0,Previous fraud history
T4182,C391,37.08,32.0,1,30.85,1,web,south,unknown,amazon,2024-01-01 04:48:00,0,Previous fraud history
T1424,C461,5.93,40.0,1,98.0,1,mobile,west,grocery,bestbuy,2024-01-01 05:30:00,0,Previous fraud history
T4634,C460,9.85,43.0,2,82.94,0,pos,north,travel,walmart,2024-01-01 08:15:56,0,Previous fraud history
T4769,C456,12.4,37.0,1,99.21,1,web,east,travel,amazon,2024-01-02 00:12:00,0,Previous fraud history
T5162,C238,79.6,21.0,1,124.06,1,mobile,north,food,starbucks,2024-01-01 07:18:00,0,Previous fraud history
T5100,C261,99.8,38.0,2,47.06,0,pos,north,travel,starbucks,2024-01-01 05:01:00,0,Previous fraud history
T5216,C270,4.25,39.0,2,103.62,0,web,west,unknown,bestbuy,2024-01-01 12:49:00,0,Previous fraud history
T5113,C304,9.42,68.0,1,133.15,1,web,north,electronics,amazon,2024-01-01 07:03:00,0,Previous fraud history
T5122,C136,119.68,43.0,2,139.53,0,mobile,south,grocery,bestbuy,2024-01-01 13:19:00,0,Previous fraud history
T3731,C200,64.21,28.0,2,183.76,0,mobile,west,travel,walmart,2024-01-01 10:04:00,0,Previous fraud history
T2704,C252,57.89,42.0,2,225.16,0,pos,east,travel,amazon,2024-01-01 03:33:00,0,Previous fraud history
T3083,C274,239.93,19.0,0,125.45,1,pos,south,shopping,target,2024-01-01 17:01:00,0,Amount higher than average spending
T4392,C367,219.03,21.0,1,41.07,0,pos,south,electronics,target,2024-01-01 03:26:00,0,Amount higher than average spending
T5321,C277,274.79,43.0,2,138.35,1,web,south,electronics,target,2024-01-01 19:07:00,0,Amount higher than average spending
T5233,C479,242.29,33.0,0,122.7,1,web,west,food,target,2024-01-01 04:17:23,0,Amount higher than average spending
T5188,C206,118.23,24.0,1,108.77,0,pos,west,electronics,target,2024-02-01 01:00:51,0,Amount higher than average spending
T4852,C298,94.88,34.0,1,62.58,1,mobile,south,travel,walmart,2024-01-01 19:24:31,0,Amount higher than average spending
T4620,C179,111.71,43.0,1,35.79,1,mobile,west,travel,amazon,2024-01-01 23:57:00,0,Amount higher than average spending
T3928,C230,140.34,66.0,1,79.18,1,mobile,south,food,bestbuy,2024-01-01 04:34:45,0,Amount higher than average spending
T1260,C378,95.45,40.0,0,32.94,1,web,south,electronics,amazon,2024-01-02 00:33:00,0,Amount higher than average spending
T4340,C192,219.94,26.0,1,17.39,0,pos,north,electronics,target,2024-01-01 02:52:00,0,Amount higher than average spending
T3104,C236,157.63,57.0,2,49.83,0,mobile,south,travel,amazon,2024-01-01 11:58:00,0,Amount higher than average spending
T4569,C176,198.2,21.0,3,109.47,0,pos,west,travel,target,2024-02-01 01:11:23,0,Amount higher than average spending
T5545,C342,167.06,25.0,0,136.2,1,web,west,shopping,target,2024-01-01 09:13:23,0,Amount higher than average spending
T2002,C369,206.31,68.0,1,99.64,1,web,south,food,unknown,2024-02-01 01:17:00,0,Amount higher than average spending
T5362,C458,144.26,43.0,2,87.56,0,pos,west,food,bestbuy,2024-02-01 02:01:26,0,Amount higher than average spending
T2642,C450,73.6,30.0,1,27.14,1,mobile,east,unknown,walmart,2024-01-01 20:09:43,0,Amount higher than average spending
T4142,C117,87.81,43.0,2,37.5,1,mobile,south,travel,bestbuy,2024-01-01 16:21:20,0,Amount higher than average spending
T4182,C391,37.08,32.0,1,30.85,1,web,south,unknown,amazon,2024-01-01 04:48:00,0,Amount higher than average spending
T5100,C261,99.8,38.0,2,47.06,0,pos,north,travel,starbucks,2024-01-01 05:01:00,0,Amount higher than average spending
T2897,C351,20.83,25.0,2,27.01,0,mobile,east,travel,starbucks,2024-01-01 18:07:43,0,Travel category
T4852,C298,94.88,34.0,1,62.58,1,mobile,south,travel,walmart,2024-01-01 19:24:31,0,Travel category
T5945,C305,70.865,54.0,1,156.11,1,mobile,north,travel,starbucks,2024-01-01 09:25:00,0,Travel category
