,transaction_id,customer_id,amount,customer_age,past_fraud_count,avg_spend,is_international,device_type,customer_region,category,merchant,transaction_time,is_fraud
1,T1001,C280,301.01,57.0,1,116.49,0,pos,North,travel,Unknown,2024-01-01 07:50:12,0
2,T1002,C321,131.67,43.0,1,96.91,0,web,North,grocery,Amazon,2024-01-01 18:09:06,0
11,T1011,C137,70.865,65.0,1,50.43,1,mobile,South,food,Walmart,2024-01-01 03:52:00,1
22,T1022,C396,34.55,20.0,1,101.64,0,pos,South,Unknown,Target,2024-01-01 16:51:00,0
24,T1024,C191,60.89,23.0,1,94.18,1,mobile,South,food,Target,2024-01-01 17:23:00,0
27,T1027,C475,72.2,38.0,1,96.25,0,web,East,grocery,Unknown,2024-01-01 18:54:00,0
28,T1028,C183,89.75,25.0,1,154.65,0,mobile,East,travel,Amazon,2024-01-01 13:57:20,0
33,T1033,C275,297.37,59.0,1,115.71,0,pos,West,shopping,Starbucks,2024-01-02 00:51:00,0
43,T1043,C258,240.04,51.0,1,158.13,1,web,North,Unknown,Target,2024-01-01 08:34:00,1
57,T1057,C362,21.81,51.0,1,117.12,0,pos,East,Unknown,Walmart,2024-01-01 18:29:08,0
61,T1061,C265,31.66,21.0,1,79.53,1,pos,North,electronics,Unknown,2024-01-01 15:35:09,0
65,T1065,C459,78.24,19.0,1,155.64,0,web,South,electronics,Target,2024-01-01 05:12:00,0
71,T1071,C326,22.15,25.0,1,51.38,0,pos,North,Unknown,BestBuy,2024-01-01 23:25:00,0
73,T1073,C330,168.99,28.0,1,217.98,0,pos,South,food,BestBuy,2024-01-01 04:33:45,0
76,T1076,C361,147.52,19.0,1,36.48,1,pos,West,shopping,Walmart,2024-01-01 05:03:00,0
77,T1077,C291,70.865,25.0,1,148.16,0,mobile,West,travel,Walmart,2024-01-01 21:04:00,0
83,T1083,C290,6.57,65.0,1,83.76,0,web,East,shopping,BestBuy,2024-01-01 15:34:00,0
105,T1105,C378,70.865,43.0,1,142.48,0,mobile,North,grocery,Amazon,2024-01-01 08:17:39,0
108,T1108,C350,25.98,61.0,1,124.19,0,mobile,East,electronics,BestBuy,2024-01-01 19:37:35,0
110,T1110,C207,34.21,61.0,1,145.34,0,mobile,South,shopping,Target,2024-01-01 09:44:00,0
121,T1121,C273,226.42,38.0,1,95.93,1,pos,South,food,Amazon,2024-01-01 12:41:00,1
138,T1138,C495,45.2,43.0,1,86.95,0,web,West,grocery,Walmart,2024-02-01 02:37:00,0
140,T1140,C459,70.865,59.0,1,115.15,0,pos,West,electronics,Amazon,2024-01-01 21:04:00,0
164,T1164,C135,9.46,67.0,1,84.77,0,web,South,travel,Unknown,2024-01-01 06:21:09,0
165,T1165,C443,180.36,35.0,2,131.03,0,mobile,East,shopping,Walmart,2024-01-01 08:12:00,0
168,T1168,C340,4.16,43.0,1,77.02,1,mobile,North,grocery,Amazon,2024-02-01 00:17:05,1
169,T1169,C258,70.865,47.0,1,46.84,0,web,South,food,BestBuy,2024-01-01 02:55:56,0
192,T1192,C148,230.68,33.0,2,84.59,1,mobile,North,electronics,Walmart,2024-01-01 00:39:00,0
194,T1194,C200,41.4,29.0,1,67.76,1,pos,West,travel,Target,2024-01-02 00:47:00,0
198,T1198,C263,218.11,35.0,1,60.73,0,pos,East,shopping,Walmart,2024-01-01 21:43:00,0
202,T1202,C174,17.63,47.0,1,158.86,0,mobile,East,shopping,Amazon,2024-01-02 01:49:00,0
205,T1205,C378,0.92,46.0,1,38.51,0,mobile,North,travel,BestBuy,2024-01-01 11:00:00,0
221,T1221,C197,84.0,43.0,1,46.35,1,web,South,electronics,Starbucks,2024-01-01 13:12:00,0
222,T1222,C488,9.84,43.0,1,57.55,1,pos,South,travel,Starbucks,2024-01-01 16:40:00,1
228,T1228,C126,222.61,57.0,1,96.51,0,pos,North,shopping,Walmart,2024-01-01 09:49:00,0
229,T1229,C124,99.73,26.0,1,60.13,0,web,North,shopping,Walmart,2024-01-01 01:35:00,0
237,T1237,C334,2.46,69.0,1,133.78,0,pos,West,electronics,Walmart,2024-01-01 05:23:00,0
240,T1240,C361,282.11,63.0,1,117.47,0,web,West,travel,Amazon,2024-01-02 02:52:00,0
243,T1243,C169,46.23,59.0,1,155.02,0,web,North,food,BestBuy,2024-01-01 01:07:00,0
248,T1248,C232,70.865,52.0,1,268.89,0,pos,North,shopping,Target,2024-01-01 01:45:00,0
249,T1249,C483,191.74,32.0,1,125.79,0,web,East,electronics,Starbucks,2024-01-01 10:03:00,0
279,T1279,C203,158.86,42.0,1,162.69,0,pos,East,shopping,Unknown,2024-01-01 15:08:42,0
281,T1281,C295,41.25,29.0,1,10.2,0,pos,East,food,Target,2024-01-01 21:05:58,0
286,T1286,C280,62.66,45.0,1,99.58,0,web,North,grocery,BestBuy,2024-01-01 13:54:00,0
291,T1291,C357,3.81,45.0,2,98.64,0,pos,East,electronics,Amazon,2024-01-01 13:06:00,0
292,T1292,C113,172.94,52.0,1,28.51,1,pos,West,shopping,Amazon,2024-01-01 19:50:00,1
301,T1301,C348,75.79,65.0,1,120.6,0,web,South,travel,Target,2024-01-01 07:17:37,0
316,T1316,C350,52.59,55.0,1,61.47,1,web,East,food,Walmart,2024-01-01 13:36:00,0
321,T1321,C226,125.38,68.0,2,-1.33,0,web,East,grocery,BestBuy,2024-01-01 04:00:00,0
333,T1333,C371,12.34,51.0,1,82.9,0,mobile,North,shopping,Target,2024-01-01 12:54:00,0
339,T1339,C492,10.3,60.0,1,128.18,1,mobile,South,food,BestBuy,2024-01-02 01:00:00,0
342,T1342,C294,19.02,58.0,1,-8.99,0,pos,West,electronics,Walmart,2024-01-01 07:03:29,0
343,T1343,C441,56.89,31.0,2,97.16,0,pos,East,grocery,Amazon,2024-01-02 01:45:00,0
345,T1345,C199,95.67,46.0,1,39.58,0,web,North,electronics,Target,2024-01-01 22:07:00,0
354,T1354,C347,7.32,69.0,1,30.73,0,pos,North,grocery,Amazon,2024-01-01 11:21:42,0
358,T1358,C322,281.73,18.0,1,148.05,0,web,North,electronics,Amazon,2024-01-01 12:41:43,0
360,T1360,C417,49.13,49.0,2,70.92,1,web,East,travel,BestBuy,2024-01-01 23:58:00,0
369,T1369,C435,7.19,56.0,1,80.91,1,web,East,shopping,BestBuy,2024-01-01 01:46:00,1
370,T1370,C363,10.62,43.0,2,129.42,0,web,North,travel,Target,2024-01-01 21:13:00,0
376,T1376,C334,186.35,66.0,1,83.71,0,web,North,food,Target,2024-01-01 11:11:00,0
380,T1380,C133,12.58,40.0,1,164.35,0,web,East,food,Walmart,2024-01-01 15:46:00,0
387,T1387,C126,19.53,43.0,2,105.38,0,mobile,South,grocery,Amazon,2024-02-01 01:47:36,0
388,T1388,C158,138.88,64.0,1,36.06,0,mobile,South,Unknown,Amazon,2024-01-01 04:00:00,0
398,T1398,C349,138.98,64.0,1,68.65,0,web,North,food,Starbucks,2024-01-01 09:11:24,0
404,T1404,C490,38.57,47.0,1,163.13,0,pos,South,food,BestBuy,2024-01-01 02:09:00,0
405,T1405,C442,225.88,61.0,1,97.12,0,mobile,East,grocery,Unknown,2024-01-01 08:01:32,0
415,T1415,C305,59.5,29.0,1,106.23,0,pos,South,food,BestBuy,2024-01-02 00:59:00,0
423,T1423,C137,68.2,43.0,1,30.27,1,mobile,South,shopping,Target,2024-01-01 04:10:00,0
424,T1424,C461,5.93,40.0,1,98.0,1,mobile,West,grocery,BestBuy,2024-01-01 05:30:00,0
425,T1425,C102,79.75,45.0,1,176.65,0,pos,West,electronics,Walmart,2024-01-01 18:43:00,0
427,T1427,C432,218.66,54.0,2,139.26,0,mobile,South,electronics,Walmart,2024-01-01 19:06:00,0
433,T1433,C418,10.66,30.0,1,54.22,0,pos,South,grocery,Amazon,2024-01-02 00:18:00,0
440,T1440,C325,8.87,53.0,1,39.09,0,mobile,South,food,Amazon,2024-01-01 13:42:00,0
443,T1443,C402,46.31,36.0,1,21.48,0,mobile,East,grocery,Target,2024-01-01 15:54:57,0
446,T1446,C340,70.865,24.0,1,177.86,0,mobile,West,food,Target,2024-01-01 09:07:47,0
448,T1448,C138,70.865,21.0,1,131.3,1,web,North,grocery,Starbucks,2024-01-01 08:04:11,1
456,T1456,C243,1.14,30.0,1,111.18,0,mobile,South,Unknown,Walmart,2024-01-01 18:43:00,0
